user_id,total_orders,avg_items_per_order,avg_quantity_per_item,ratio_694ac36396b57eb4d4ab0122,ratio_694ac36396b57eb4d4ab0123,ratio_694ac36396b57eb4d4ab0124,ratio_694ac36396b57eb4d4ab0125,ratio_694ac36396b57eb4d4ab0126,ratio_694ac36396b57eb4d4ab0127,ratio_694ac36396b57eb4d4ab0128,ratio_694ac36396b57eb4d4ab0129,ratio_694ac36396b57eb4d4ab012a
+96170000048,8,3.875,2.129032258064516,0.24242424242424243,0.5606060606060606,0.0,0.0,0.07575757575757576,0.030303030303030304,0.0,0.045454545454545456,0.045454545454545456
+96170000023,7,3.7142857142857144,1.7692307692307692,0.2826086956521739,0.32608695652173914,0.06521739130434782,0.043478260869565216,0.15217391304347827,0.0,0.0,0.0,0.13043478260869565
+96170000027,8,4.5,1.75,0.47619047619047616,0.25396825396825395,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.047619047619047616
+96170000001,7,4.0,1.8928571428571428,0.33962264150943394,0.1320754716981132,0.03773584905660377,0.07547169811320754,0.18867924528301888,0.0,0.0,0.0,0.22641509433962265
+96170000038,7,4.285714285714286,1.8666666666666667,0.5892857142857143,0.16071428571428573,0.0,0.0,0.05357142857142857,0.0,0.0,0.0,0.19642857142857142
+96170000034,8,4.75,1.7894736842105263,0.35294117647058826,0.19117647058823528,0.029411764705882353,0.029411764705882353,0.17647058823529413,0.0,0.058823529411764705,0.014705882352941176,0.14705882352941177
+96170000032,7,4.714285714285714,2.090909090909091,0.43478260869565216,0.14492753623188406,0.043478260869565216,0.17391304347826086,0.17391304347826086,0.0,0.0,0.0,0.028985507246376812
+96170000044,7,4.571428571428571,2.0,0.390625,0.375,0.0,0.078125,0.078125,0.0,0.0,0.0,0.078125
+96170000006,8,4.375,1.7428571428571429,0.29508196721311475,0.4098360655737705,0.0,0.08196721311475409,0.08196721311475409,0.03278688524590164,0.0,0.0,0.09836065573770492
+96170000043,8,4.375,2.0285714285714285,0.2112676056338028,0.4507042253521127,0.0,0.15492957746478872,0.014084507042253521,0.0,0.0,0.028169014084507043,0.14084507042253522
+96170000036,7,5.0,1.9714285714285715,0.42028985507246375,0.2318840579710145,0.0,0.11594202898550725,0.028985507246376812,0.0,0.0,0.028985507246376812,0.17391304347826086
+96170000007,8,4.0,1.75,0.4107142857142857,0.2857142857142857,0.0,0.10714285714285714,0.07142857142857142,0.0,0.03571428571428571,0.0,0.08928571428571429
+96170000014,7,5.0,2.1142857142857143,0.28378378378378377,0.3108108108108108,0.0,0.06756756756756757,0.21621621621621623,0.0,0.0,0.0,0.12162162162162163
+96170000035,8,3.5,1.9642857142857142,0.32727272727272727,0.18181818181818182,0.0,0.14545454545454545,0.12727272727272726,0.0,0.0,0.10909090909090909,0.10909090909090909
+96170000013,7,4.857142857142857,2.088235294117647,0.323943661971831,0.30985915492957744,0.0,0.1267605633802817,0.07042253521126761,0.04225352112676056,0.014084507042253521,0.0,0.11267605633802817
+96170000041,7,4.285714285714286,1.9666666666666666,0.3050847457627119,0.2542372881355932,0.01694915254237288,0.11864406779661017,0.15254237288135594,0.0,0.0,0.03389830508474576,0.11864406779661017
+96170000031,7,4.142857142857143,2.0,0.39655172413793105,0.22413793103448276,0.0,0.08620689655172414,0.10344827586206896,0.0,0.0,0.05172413793103448,0.13793103448275862
+96170000022,7,4.142857142857143,2.206896551724138,0.375,0.171875,0.078125,0.25,0.046875,0.0,0.0,0.0,0.078125
+96170000008,8,3.375,2.1481481481481484,0.46551724137931033,0.29310344827586204,0.017241379310344827,0.05172413793103448,0.034482758620689655,0.0,0.0,0.0,0.13793103448275862
+96170000020,7,4.285714285714286,2.1,0.31746031746031744,0.42857142857142855,0.047619047619047616,0.09523809523809523,0.07936507936507936,0.0,0.0,0.031746031746031744,0.0
+96170000018,8,4.375,2.057142857142857,0.2777777777777778,0.3055555555555556,0.0,0.16666666666666666,0.1388888888888889,0.0,0.013888888888888888,0.0,0.09722222222222222
+96170000025,8,3.5,1.7142857142857142,0.2708333333333333,0.3541666666666667,0.0625,0.14583333333333334,0.10416666666666667,0.0,0.0,0.0,0.0625
+96170000004,7,4.142857142857143,1.9310344827586208,0.32142857142857145,0.32142857142857145,0.05357142857142857,0.08928571428571429,0.08928571428571429,0.0,0.0,0.0,0.125
+96170000011,7,4.0,1.8571428571428572,0.40384615384615385,0.2692307692307692,0.0,0.057692307692307696,0.23076923076923078,0.0,0.0,0.0,0.038461538461538464
+96170000015,7,4.714285714285714,1.9393939393939394,0.390625,0.328125,0.0,0.140625,0.015625,0.0,0.03125,0.015625,0.078125
+96170000021,7,4.285714285714286,2.0,0.38333333333333336,0.25,0.0,0.1,0.11666666666666667,0.0,0.016666666666666666,0.0,0.13333333333333333
+96170000024,7,4.142857142857143,2.0689655172413794,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.15,0.0,0.05,0.0,0.13333333333333333
+96170000047,7,4.142857142857143,1.896551724137931,0.38181818181818183,0.2727272727272727,0.0,0.14545454545454545,0.07272727272727272,0.0,0.0,0.05454545454545454,0.07272727272727272
+96170000039,7,4.0,2.25,0.42857142857142855,0.20634920634920634,0.047619047619047616,0.15873015873015872,0.09523809523809523,0.0,0.0,0.0,0.06349206349206349
+96170000017,7,4.857142857142857,1.8529411764705883,0.36507936507936506,0.25396825396825395,0.0,0.12698412698412698,0.1746031746031746,0.0,0.0,0.0,0.07936507936507936
+96170000002,8,4.0,1.71875,0.3090909090909091,0.2545454545454545,0.07272727272727272,0.12727272727272726,0.10909090909090909,0.03636363636363636,0.0,0.03636363636363636,0.05454545454545454
+96170000019,7,4.285714285714286,1.9333333333333333,0.41379310344827586,0.1896551724137931,0.017241379310344827,0.22413793103448276,0.15517241379310345,0.0,0.0,0.0,0.0
+96170000030,9,4.444444444444445,1.925,0.35064935064935066,0.44155844155844154,0.0,0.07792207792207792,0.07792207792207792,0.012987012987012988,0.012987012987012988,0.0,0.025974025974025976
+96170000010,7,3.7142857142857144,1.9230769230769231,0.32,0.26,0.06,0.06,0.18,0.0,0.0,0.02,0.1
+96170000016,7,4.142857142857143,1.7241379310344827,0.36,0.18,0.0,0.18,0.06,0.0,0.0,0.04,0.18
+96170000037,7,4.0,1.9642857142857142,0.45454545454545453,0.21818181818181817,0.0,0.09090909090909091,0.07272727272727272,0.0,0.0,0.05454545454545454,0.10909090909090909
+9618199999,7,4.285714285714286,2.033333333333333,0.4426229508196721,0.2459016393442623,0.0,0.04918032786885246,0.13114754098360656,0.0,0.0,0.0,0.13114754098360656
+9617966666,6,4.833333333333333,1.8620689655172413,0.37037037037037035,0.3888888888888889,0.0,0.07407407407407407,0.05555555555555555,0.0,0.0,0.0,0.1111111111111111
+96170000003,6,4.333333333333333,2.230769230769231,0.4827586206896552,0.1724137931034483,0.0,0.22413793103448276,0.06896551724137931,0.0,0.0,0.0,0.05172413793103448
+96170000005,6,4.0,1.7083333333333333,0.3170731707317073,0.2682926829268293,0.0,0.04878048780487805,0.1951219512195122,0.0,0.0,0.0,0.17073170731707318
+96170000009,6,4.666666666666667,1.8571428571428572,0.23076923076923078,0.25,0.0,0.25,0.23076923076923078,0.0,0.0,0.0,0.038461538461538464
+96170000012,6,4.0,2.0416666666666665,0.2653061224489796,0.40816326530612246,0.0,0.10204081632653061,0.14285714285714285,0.0,0.0,0.0,0.08163265306122448
+96170000026,6,4.833333333333333,1.8620689655172413,0.5,0.2037037037037037,0.0,0.018518518518518517,0.07407407407407407,0.0,0.0,0.0,0.2037037037037037
+96170000028,6,4.833333333333333,2.103448275862069,0.45901639344262296,0.2786885245901639,0.0,0.11475409836065574,0.06557377049180328,0.0,0.0,0.0,0.08196721311475409
+96170000029,6,3.6666666666666665,1.6818181818181819,0.5135135135135135,0.43243243243243246,0.0,0.0,0.0,0.0,0.0,0.0,0.05405405405405406
+96170000033,6,4.166666666666667,1.92,0.2708333333333333,0.22916666666666666,0.0,0.08333333333333333,0.20833333333333334,0.0,0.0,0.0,0.20833333333333334
+96170000040,6,4.0,1.8333333333333333,0.4318181818181818,0.20454545454545456,0.0,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.09090909090909091
+96170000042,6,4.0,1.7083333333333333,0.43902439024390244,0.2926829268292683,0.0,0.024390243902439025,0.04878048780487805,0.0,0.0,0.0,0.1951219512195122
+96170000045,6,4.0,2.2916666666666665,0.4909090909090909,0.16363636363636364,0.0,0.14545454545454545,0.14545454545454545,0.0,0.0,0.0,0.05454545454545454
+96170000046,6,4.666666666666667,2.0357142857142856,0.5087719298245614,0.21052631578947367,0.0,0.08771929824561403,0.07017543859649122,0.0,0.0,0.0,0.12280701754385964
70516382,3,1.6666666666666667,2.2,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.18181818181818182
71966828,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
